Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
O75594,PGLYRP1,Peptidoglycan recognition protein 1,PGRP1_HUMAN,5,56146.52734,75631.84375,16256.27051,30151.91211,22412.02148,19093.78711,125329.1406,67054.08594,75793.67188,81389.25,34244.5,37775.67188,55661.44922,62366.86719,38621.96094,20067.14453,82673.98438,12018.45117,34253.60156,24674.10742,81153.71094,91675.17969,38306.10938,35284.45313,69267.15625,87855.28906,38981.97656,21895.2832,19292.82031,121837.5391,53547.51172,47408.92969,129741.4922,71661.89063,39852.30469,43828.6875,19347.57617,17280.80859,30831.76563,19932.9043,27877.58398,58657.98047,19801.52734,26967.59766,59961.86328,17021.13281,63958.76953,24044.08203,102479.8516,40267.74219,45970.62891,98869.92188,16544.98242,17309.32227
P31947,SFN,14-3-3 protein sigma,1433S_HUMAN,13,46467.55859,12302.40137,50499.13281,13051.44043,89776.42188,122651.9219,65446.16406,17574.99609,34753.53125,73192.34375,4219.957031,84208.16406,107772.4766,75552.20313,45855.53906,37756.83984,5811.532227,18877.36133,36848.97266,7298.561523,88876.78906,268263.7188,30983.85547,12122.0918,126741.25,120183.0547,19265.5,6192.175293,23831.76367,26923.72852,3118.779541,4855.265137,25443.89453,13460.30469,56621.78125,7197.211426,27872.83594,46801.60547,16655.21289,29796.01563,15316.3877,167405.4531,52972.125,17198.0332,61022.59375,12583.04883,18270.71289,15313.41016,155273.1875,22884.17578,39249.50781,54788.11328,4136.413086,18241.03906
O15347,HMGB3,High mobility group protein B3,HMGB3_HUMAN,2,75821.42188,56092.49609,11401.9209,18690.20703,59186.5625,116244.1797,114538.0547,71543.91406,60715.01563,87454.46875,123013.4375,18628.41602,62278.17188,22012.49219,49219.79688,19548.59375,107146.3594,9919.487305,36783.52734,38030.30469,44405.91016,86014.03906,15900.52148,45398.26563,35968.66016,48146.17188,61469.76953,19348.11328,29532.69922,112341.7969,63419.92969,32511.59375,118043.9375,25152.68945,36543.42578,159238.25,26382.66016,32714.26953,20951.82813,19378.74023,30473.0625,36459.01172,24218.80273,22075.81055,29313.29688,22274.92773,32591.01563,19222.57422,121363.2734,14684.54102,23828.45313,60552.57031,17014.70508,18199.42383
P47929,LGALS7,Galectin-7,LEG7_HUMAN,7,117086.0156,6586.445801,58243.71094,3529.196777,18906.85352,119373.5703,66534.28125,38451.18359,11628.11816,74990.91406,1870.315918,12982.94141,76770.73438,18467.61133,10948.76465,9487.987305,3651.481934,23932.55859,82018.07031,20999.0957,20232.62891,204384.1094,41293.9375,13919.68457,314067.6563,187024.7031,36908.28516,6136.170898,32914.60156,40617.10938,3767.004883,2800.828125,18515.92383,15850.78711,33180.00391,2299.653564,12103.90527,13217.47168,25384.52734,24331.03711,19605.37695,80801.09375,261503.375,28156.36133,24750.43359,37857.50781,8275.581055,26570.32031,204883.2813,16008.57617,52310.71875,162937.9531,11905.23633,25651.48242
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,3,25913.38477,54402.45313,7048.429199,8706.272461,52171.41406,56959.64063,3508.374512,2499.541748,65431.17969,78770.57813,4294.331055,24418.24805,59302.09766,35450.41406,19302.81641,21582.18359,12318.28516,5227.044922,141117.6875,93075.07813,61896.83984,31554.01172,54789.19922,53316.45313,11915.56543,15189.6416,84449.91406,43367.01563,67523.07031,162451.125,68006.54688,103201.2422,64428.58984,44548.89453,54077.98438,47988.57813,32296.24609,30409.51563,118839.7969,122581.7422,58173.07422,73559.75,19180.39453,44990.86328,35819.86328,53613.05859,4518.547852,4484.005371,85886.41406,46058.63281,52697.91406,73883.5,14293.6084,5719.353516
Q7Z404,TMC4,Transmembrane channel-like protein 4,TMC4_HUMAN,15,27184.36719,48896.32813,8946.456055,20764.00586,24155.2207,46520.77344,134066.2813,67792.875,58518.78906,67244.10156,3477.549561,30155.30859,62546.17969,11489.07031,87936.67969,49043.72266,54509.57031,93962.60156,56209.08594,56399.95313,6303.095215,10150.57617,65507.64063,74499.80469,2315.054199,3761.428467,97294.40625,62227.32031,44288.42969,117543.0859,20877.70117,32831.29688,34410.95313,36452.94922,43428.26563,17601.06055,41215.33984,39301.64063,59723.76563,73772.85938,52430.26563,30483.47852,19760.53906,58709.875,57210.93359,82911.01563,54171.92578,70143.23438,37890.9375,16995.50391,76884.35938,136647.6094,46013.04688,37187.63281
O14773,TPP1,Tripeptidyl-peptidase 1,TPP1_HUMAN,13,29252.13086,28372.96094,39358.16016,27989.11328,23088.92383,46466.22656,54402.61719,49927.41406,47586.33203,88328.02344,16513.14258,30337.70898,56738.25,21706.24023,49491.96484,38871.67578,50956.33203,115276.7578,72511.91406,85988.69531,18313.52734,49795.03125,49422.79688,72421.70313,27594.48242,18016.55469,48784.42578,44089.61719,27581.52344,100522.7578,6505.291504,12317.03027,45221.22266,30692.61523,31271.97852,27793.03906,28251.85352,78296.01563,57801.23047,83488.34375,43037.19141,47680.71875,48622.98047,64721.84375,41231.9375,48583.35547,26871.64258,66940.96875,74173.6875,31300.83008,46850.32813,168560.2813,25371.66406,40303.10938
P02656,APOC3,Apolipoprotein C-III,APOC3_HUMAN,6,23011.57813,4571.500977,3861.884521,9176.522461,14967.17676,21252.78125,9426.165039,9372.904297,28603.96289,26438.86133,33610.78125,9771.458008,7841.885742,9266.773438,17695.12891,11406.70117,10348.09473,3862.174805,4987.421387,11204.45117,311831.2813,122579.6797,9851.050781,7416.503906,2575.223389,2849.501465,24616.63477,6261.75,7932.384277,57754.62109,2767.598145,2411.540039,74987.65625,16515.94531,27795.66016,2246.33374,27723.1875,170202.6406,3550.091064,4205.766602,4288.606445,24127.42969,3479.599854,5943.917969,14468.83691,43960.58594,5940.063965,10153.36426,5304.297363,18552.8418,7869.001465,19330.37695,3227.505371,72491.35156
Q02487,DSC2,Desmocollin-2,DSC2_HUMAN,17,35808.02344,12271.22656,76350.28906,17346.87695,32890.16406,62145.13672,71417.875,54051.37891,36331.26563,51733.61719,2743.893066,56772.22266,73233.15625,50228.44141,21362.41406,21552.92969,8079.270996,32883.31641,54364.47656,14893.04492,57448.84375,42374.72266,67870.89063,18854.19336,78937.00781,124034.5938,54577.59766,17496.42578,27214.83789,66796.78906,5295.026367,5801.687988,30602.10938,21463.91016,55586.19531,7546.629395,38364.94531,67839.03125,37812.33984,24789.34375,37571.27344,176636.0625,70813.39063,85614.00781,40697.19922,28375.33008,33046.46484,35812.08594,92364.80469,76572.75,126574.3047,108177.1953,14523.18848,18546.97852
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,4,17901.85742,73829.85938,4012.118164,6724.62793,76934.23438,39922.125,34600.04688,19779.17969,71363.32031,74406.69531,58612.35938,142128.7344,33495.88672,26305.58398,53615.92578,41293.53906,35792.99609,12196.35547,33528.05078,42708.48438,13619.87012,7109.729004,73100.17188,74096.57031,3557.583252,6310.294922,58026.80469,30160.29102,38843.32031,99417.92969,93924.23438,163347,68213.16406,55891.92969,12200.3916,16698.05078,3953.669922,6802.206055,2218.9104,1921.113037,55579.98828,34761.69531,22319.89063,44352.78906,31331.49219,28985.69922,9223.93457,17322.83398,10968.27246,11266.11133,293050.4063,344532.5625,30263.41211,14316.14648
Q92743,HTRA1,Serine protease HTRA1,HTRA1_HUMAN,19,41401.29688,69050.8125,9018.606445,33458.63281,19468.28711,31283.70898,94716.32813,67322.77344,46397.97656,40650.8125,6788.174316,38696.76172,89754.05469,63180.96094,47498.875,24756.11328,72631.03906,41962.76172,64303.75,51746.47656,19112.24414,12054.27246,63126.98828,62923.64844,12618.36621,12112.95313,84875.45313,54340.13281,60872.73828,161906.9688,38025.5625,57510.60938,63433.10938,50616.16406,24615.09375,21745.05078,31406.83984,26426.43945,37002.50391,33495.49219,43272.42578,30021.19141,14419.20215,33431.17969,47080.19141,46879.19531,62723.77344,37466.60547,23832.34961,42515.25,39882.48438,183003.8438,68884.39063,57280.79688
P01911,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1 beta chain",DRB1_HUMAN,9,14411.21191,23971.94531,11723.7002,11878.74414,34583.51563,54157.66016,62258.87109,76637.99219,63759.68359,121049.0938,76091.80469,28286.29297,124032.7578,16238.89355,37176.25781,42654.44922,14321.48926,15957.62012,32031.18945,86707.33594,7369.239746,15513.46777,12167.80176,34769.39844,4412.327148,3921.876221,46994.17188,38260.55859,31030.34766,87901.45313,7546.705566,14922.57422,32453.92773,10733.1123,58825.04297,58362.91016,35893.54688,50927.73047,26427.0332,30736.83984,29297.25195,47642.39453,118370.1719,172317.5625,52393.82031,84432.78906,16585.97461,40517.46875,51448.94141,14877.00195,42475.35547,132529.9531,19275.80469,63575.53125
Q06323,PSME1,Proteasome activator complex subunit 1,PSME1_HUMAN,18,19295.07422,29908.92383,11103.30371,23857.17383,21838.07617,77841.23438,61440.01172,70329.3125,40126,81907.25,78474.97656,28712.83398,51690.03125,22296.85742,43742.77344,53462.89063,87875.46875,32899.88672,32515.64063,99329.34375,25576.88086,33278.48438,47472.4375,85395.23438,18116.08203,19868.32813,64544.97266,73218.85938,38983.27344,99494.23438,17898.72266,18045.68945,88136.57813,9313.40625,44693.07422,53448.91406,16718.76758,39103.01953,31555.74414,37691.95703,37826.87891,38679.92188,25055.98047,59677.69141,56979.80078,78585.60156,17560.9375,52432.61719,58483.39063,34943.03516,43394.96484,149400.375,18560.85352,42693.20703
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,PDC6I_HUMAN,43,42246.55859,38600.14844,13922.84375,18625.66797,43930.26563,56839.92188,88416.38281,65298.37891,58654.94141,73868.84375,21117.6875,31193.78125,80656.11719,24640.86133,67704.96094,51230.17969,42472.16016,65737.59375,48928.46875,51663.98438,22243.29688,37157.42188,49367.81641,58490.30859,20780.83789,22034.53125,73090.10938,50456.32813,29109.46484,78700.27344,19371.12695,23238.92188,35811.15234,24104.80273,40400.92969,44208.68359,43198.65234,59130.24609,47815.71875,54566.56641,35431.94531,35334.71484,29759.9082,44070.15234,66014.92969,80981.5625,41012.39844,70677.625,55068.70313,25267.65039,57279.48438,125123.9219,25524.41602,44933.28516
Q5T655,CFAP58,Cilia- and flagella-associated protein 58,CFA58_HUMAN,5,39636.00781,101740.5938,11917.24902,12816.87891,84445.97656,145088.4063,197187.9688,114597.2031,116540.7344,128097.8359,5376.854004,16189.44922,86848.91406,14842.10449,47915.06641,59859.72266,54885.83203,92064.07813,33207.04297,51717.8125,13154.38086,11080.29004,45743.19922,32658.85742,16932.61328,15164.25488,64532.83203,64108.48438,29410.77539,36420.19141,12787.4668,38394.08984,15645.5459,8195.911133,14680.82129,27186.88867,23501.67969,26106.94141,57661.95313,64454.17578,20706.78516,21982.29102,9469.295898,17711.01367,75032.46875,80033.08594,55499.18359,60497.32813,27470.08008,14036.90527,57231.07031,76927.75781,20849.10938,12627.84863
P05156,CFI,Complement factor I,CFAI_HUMAN,23,32672.48047,23598.87891,4130.712402,15783.90039,54926.91406,60820.17969,52486.89844,55988.34375,37959.13281,81796.61719,22821.25,18942.50781,41730.49219,12354.46973,60006.66016,51130.12109,44415.30469,69406.80469,31291.47656,58095.92969,52350.10547,28335.0332,53234.91797,63750.44922,3764.144775,4368.702148,99287.32813,48857.39844,37666.60156,174072.6719,12971.08984,29947.08594,83898.69531,55429.30078,30500.55469,17039.20703,25211.87109,86348.4375,74078.00781,60660.07422,44935.02734,56135.31641,9501.035156,30612.89063,84678.36719,98656.96094,17705.39453,41057.08594,13426.68164,19072.82227,51420.99219,121037.4609,19151.81055,43331.91406
P13671,C6,Complement component C6,CO6_HUMAN,40,16296.06348,33008.33984,2680.232666,8739.283203,56723.0625,25218.12109,69724.67188,38801.46484,30968.99023,46224.67578,18208.48242,22858.87109,36417.48828,12940.18164,90240.09375,79631.83594,56236.5,87091.14844,53499.13281,77736.89063,25515.99609,13444.26074,64682.65234,72720.95313,3681.207764,2885.944824,87476.82813,41009.5,20330.30078,126368.2813,5788.984375,14546.15332,60202.95313,43033.40234,36584.27344,19791.46094,37165.41797,64582.61719,83400.89844,86670.05469,41610.62109,29661.76953,10809.33008,26216.72852,98421.67188,85990.23438,33432.42578,52356.49609,15765.26172,24706.10547,94471.6875,126133.3203,22240.86133,48867.23047
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2,RAC2_HUMAN,4,52874.47266,72540.76563,12279.59863,47571.03125,62779.07031,46446.36719,86587.33594,92989.75,61405.76172,62795.40625,21183.46484,31254.56445,53480.875,55880.78906,42596.63281,33267.96875,58026.74609,31952.22461,28389.77148,48637.44922,71441.35156,104014.9063,31651.26563,60496,41916.36719,37940.53516,57408.77734,48910.61328,29101.38281,110593.2891,23459.72656,26503.94141,101387.3281,48758.93359,43813.08594,21785.92383,21137.73438,15252.79395,35431.13672,34422.68359,33254.41406,37016.29688,21129.61523,29925.83008,45127.79297,28972.93164,37675.00781,32086.7793,55144.42578,34414.47656,31483.66602,92279.01563,19651.16211,30637.5293
P22894,MMP8,Neutrophil collagenase,MMP8_HUMAN,14,34278.91797,88164.39063,10799.83203,21763.83203,32166.52344,31372.98438,79507.19531,27206.05273,57979.59766,57031.46875,56768.76172,33147.71094,26073.41992,33659.83203,24449.93945,14908.60059,81809.28125,7920.58252,39672.58984,19920.58984,51998.54297,28860.11523,41156.24609,51198.69531,25702.80469,30088.25391,50803.73828,24020.86523,25735.4043,181576.5313,132797.3594,87994.53125,198635.5469,46983.94141,35289.50391,146821.6094,17862.90625,14278.48438,27908.13867,21729.37305,27167.2207,40763.62109,17295.04102,18569.88086,28715.32227,12509.24023,39969.73438,16508.125,71826.85156,39826.48047,36171.39063,98100.60156,19542.63281,15780.39648
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,2,26332.28125,46196.02734,1525.862549,9372.882813,218911.5156,76716.63281,15234.3418,12807.17871,66134.26563,96667.46875,8546.96582,16523.42969,6475.73584,13625.69824,103809.7813,37719.33203,20699.76172,31315.89453,16960.55078,17424.46094,11252.58203,5555.000488,8772.195313,14691.47559,16661.71094,26209.55859,15023.08594,10826.23242,16431.48828,54582.24219,18658.29102,37533.73828,67689.91406,76660.52344,11807.3252,7438.303223,3675.948975,30783.42578,95013.73438,74267.89063,18860.31836,14522.95215,5046.855469,2520.091553,12570.0332,11464.34082,10022.74219,11253.4707,62573.39063,80279.91406,12834.03809,28907.32422,343878.1563,383000.9063
P14174,MIF,Macrophage migration inhibitory factor,MIF_HUMAN,2,23752.0293,30834.65039,6673.424805,23338.51367,93018.28906,174209.9688,53248.92969,46109.01172,105921.2422,213743.6563,61403.58203,66507,70475.92188,30564.63086,133785.9219,110289.8906,28524.61523,24097.55859,29014.51758,39444.58203,65895.45313,95913.67969,22955.46094,32303.50195,19090.36328,18481.95313,25607.05078,29032.57031,17117.40234,39677.35938,7701.321777,10878.38086,30976.16602,102022.0625,71982.28906,15583.85938,29000.3125,59022.85156,15394.65137,17313.19727,16464.04102,23255.24805,4611.655273,17577.68555,87694.25,41625.98047,12622.04883,31066.55664,25154.54883,38641.05859,27418.12695,45501.77344,7006.781738,30422.37891
P35237,SERPINB6,Serpin B6,SPB6_HUMAN,19,36534.48438,49126.61328,17178.40039,19225.39063,20526.53125,82521.11719,74879.90625,75878.99219,44478.92969,85955.32031,20695.92383,27504.3418,64542.64063,15654.32813,41877.64844,42786.53906,54288.19141,55345.16797,47712.10156,82473.45313,17667.77344,36242.62891,61358.77344,76595.99219,23568.95117,19585.56641,66180.14063,57671.89063,25595.22656,98282.88281,14852.92383,18937.73633,45521.85547,18847.13672,34436.86328,28991.10742,21293.82813,52337.28906,36532.07813,40364.30469,37675.16016,36256.39844,25014.19336,49178.47266,62694.00391,105350.6797,28616.51953,57580.75391,64793.72266,29146.61523,53308.77344,154380.7813,19151.69336,29773.96875
O95436,SLC34A2,Sodium-dependent phosphate transport protein 2B,NPT2B_HUMAN,20,25819.00195,53546.66406,8148.782715,17736.3457,27885.94531,38585.15625,206945.4063,105556.8516,48345.33594,43951.62891,4355.522949,37187.14063,64906.80469,8124.624023,28236.3457,24490.10156,44675.30859,66132.67969,72706.5,79936.15625,5840.350098,8403.673828,62073.58203,68236.83594,2307.634521,3088.837891,88774.01563,42844.10938,26639.62109,90920.78906,36634.24609,38176.53516,36014.53125,24203.85742,36007,15501.1123,29422.31836,30797.75391,80834.78906,81760.67188,43633.63281,22663.24414,23745.12891,63434.73047,70743.54688,50045.14453,38622.69922,63255.07813,30826.30469,11325.64453,86824.96875,130905.8125,41566.30469,36316.36719
Q6UX73,C16orf89,UPF0764 protein C16orf89,CP089_HUMAN,14,16967.57031,26788.58398,1832.680054,12701.58203,40765.07422,61328.61328,55108.25781,81035.32031,56520.30078,93779.46875,1112.673584,35429.80078,61556.52344,9765.072266,67267.15625,64757.63281,50438.42188,107528.3047,63535.44141,107447.7188,5938.998047,3068.378662,50992.39453,77957.91406,1161.146606,1549.672729,93392.32031,55755.62891,18363.60547,53314.01563,2523.486084,16439.64258,12703.00781,30780.16211,44461.88281,2279.25293,49189.79688,62388.78516,64819.67969,85680.58594,39410.9375,31722.46875,9784.553711,30611.11523,90243.26563,119049.4375,15858.79102,48837.67969,4783.204102,13876.01563,73380.41406,182521.9688,32465.0625,72038.35938
Q96CX2,KCTD12,BTB/POZ domain-containing protein KCTD12,KCD12_HUMAN,12,19872.81055,63998.33984,6253.962402,15941.30078,28930.3457,57802.6875,75280.32813,84976.89063,51709.75,77305.90625,14265.42383,27237.92773,49917.32031,10982.36328,45046.76953,58181.04297,78793.02344,90489.67969,47905.75391,98105.19531,8584.610352,22229.42188,56813.99219,92926.50781,2267.438965,3680.221191,54332.71484,66751.41406,21013.88477,62975.20313,7500.18457,9364.390625,50501.37891,29657.41602,25598.18359,16571.16016,22356.32031,23090.29492,54546.14453,60439.52734,37556.73828,26907.29492,26990.27734,57831.16016,74808.04688,85637.89844,41912.73438,89969.77344,36424.03906,14366.57324,76121.66406,131966.0156,26584.20703,43742.69141
P02746,C1QB,Complement C1q subcomponent subunit B,C1QB_HUMAN,8,49403.32422,22543.19727,4995.631348,24878.41211,47455.90234,111391.9766,32880.3125,59353.45313,34052.88281,73793.07813,59933.25,20783.48438,20015.57422,38242.56641,48780.07813,41206.08984,24868.15625,24157.39258,29739.37891,56344.71484,88438.14844,58634.25,34843.625,82004.92188,6861.568848,5716.973145,69170.66406,62314.34766,32132.13281,199749.8906,4262.533691,10627.43164,115840.9297,24693.7207,34187.625,29382.7793,20576.24219,106662.5234,35287.18359,32441.50391,13482.18066,38640.97266,8563.798828,29927.95117,23843.70508,86829.54688,24463.8418,30457.78711,24673.29297,14940.12793,45296.92969,101320.8125,20192.56836,46801.73828
P02753,RBP4,Retinol-binding protein 4,RET4_HUMAN,11,25813.0332,23824.95703,3483.520508,14927.76367,76211.55469,92797.09375,38340.00391,34331.31641,27118.74023,49496.78125,52454.08984,22040.7832,24046.60547,22252.91016,62640.84766,51407.73438,42724.23438,18303.97461,17847.99023,31456.43359,139798.25,55398.21094,35118.00781,34464.58984,4749.456055,6448.348633,65749.92969,31553.70703,47891.27344,303274.9375,5796.398926,11732.27148,94002.01563,59123.89063,33491.91406,19014.54297,24244.7832,94333.57813,30563.00781,34708.65625,14633.31641,68524.94531,4381.666504,12370.38867,38344.48047,57216.57031,14079.91016,13914.63086,20546.07813,36827.89063,39038.4375,95015.24219,14872.86133,35242.56641
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,ARPC3_HUMAN,12,11015.83301,47474.63281,5811.328125,13607.65723,74090.15625,80779.07031,42527.04297,25010.68359,81242.36719,125495.3281,70944.11719,50625.61719,84788.9375,59609.02734,79319.21094,85598.84375,46426.02734,19818.14063,28398.76172,37939.75781,91963.75,108794.6328,13011.1416,42025.32813,22045.13672,18174.48633,23248.59375,20603.36133,11973.34766,49921.50391,22000.81641,17708.12891,51937.84375,11972.18848,66006.84375,141722.6563,40922.51953,59678.8125,26890.18359,34013.83984,16484.21875,47188.37109,11519.84863,15761.47852,64596.75781,28000.45703,19162.6582,26592.15234,32055.34766,16419.67578,22508.36133,53461.66016,6258.224121,43646.39453
